caminho;bytes;sha256;mtime_utc;dt_captura
dfp/dfp_cia_aberta_2025.zip;12753312;37b26bb7ee8354f3f25abb66ae00a75bc98115cce5c5dcf6decce0990b1e520e;2026-09-18T12:15:10;2026-09-18
dfp/dfp_cia_aberta_2026.zip;217658;3bfa76dfa3ad54c24e44f70f3962d3f49bfb2dc632379f4730a15a9835fea1c2;2026-09-18T12:15:07;2026-09-18
itr/itr_cia_aberta_2011.zip;24581120;11f0d8cc47bad618a6e705a4615f8444d652967cc210dd29af8d18cad11b2a9a;2026-09-18T12:16:49;2026-09-18
itr/itr_cia_aberta_2012 (1).zip;24650791;f1d642a1a644e2528ae96c7963e6319a87537d083d003f965cee637ff9d39842;2026-09-18T12:16:47;2026-09-18
itr/itr_cia_aberta_2012.zip;24650791;f1d642a1a644e2528ae96c7963e6319a87537d083d003f965cee637ff9d39842;2026-09-04T11:25:50;2026-09-18
itr/itr_cia_aberta_2013.zip;24514311;a336c9d5d5f2e4650bf2c16a80600daf3a423d7bbcd594f1d8dd94bf12f148ea;2026-09-18T12:16:43;2026-09-18
itr/itr_cia_aberta_2014.zip;24468760;c10271ea978a7da9c0fb2ef57d6b485dc9eb8032c0634479d8f4afa90ba0ead9;2026-09-18T12:16:40;2026-09-18
itr/itr_cia_aberta_2015.zip;24295580;2755f06e74668144620b4265e59db8149284252a1b3a5bb6404c0db22b21c64b;2026-09-18T12:16:33;2026-09-18
itr/itr_cia_aberta_2016.zip;23803768;3c2954a0d7e2c4c1c6dec157134e959fd0dea0ba53001d4bab01d04727d67c21;2026-09-18T12:16:31;2026-09-18
itr/itr_cia_aberta_2017.zip;24127956;f2e626260461ec4e04614d32212ca8dc5a1be7c5b56c261343eb8866c9ed5f26;2026-09-18T12:16:28;2026-09-18
itr/itr_cia_aberta_2018.zip;23460448;a551278c83e5c0584edd2a29b6035e34e833176176827e3f04a28f8373df536b;2026-09-18T12:16:26;2026-09-18
itr/itr_cia_aberta_2019 (1).zip;24435666;dbfe1e32296563a9efdcb993ed5811876e3d50b778bc547fe004af15b9a75021;2026-09-18T12:16:23;2026-09-18
itr/itr_cia_aberta_2019.zip;24435666;dbfe1e32296563a9efdcb993ed5811876e3d50b778bc547fe004af15b9a75021;2026-09-04T11:25:54;2026-09-18
itr/itr_cia_aberta_2020.zip;27151708;4ca11b431eb21aa98f813a3c18086ca600f234f5eb0dcec0c51a8641fccbca0a;2026-09-18T12:16:20;2026-09-18
itr/itr_cia_aberta_2021.zip;31230595;c8723d5ccd4a6e99e9bc1566f2a558139cee1c2d96e4b940c4bcbedcb46a173a;2026-09-18T12:16:20;2026-09-18
itr/itr_cia_aberta_2022.zip;32324776;f12fabc4842f57f894e339f0e8d8d7a7d5beffecff3cc752b1fdf2d2028ba604;2026-09-18T12:16:16;2026-09-18
itr/itr_cia_aberta_2023.zip;32350672;4f1245cb25b69d113140a4019c70d69cd88f5b08dd9f1f88eef46b3cdfe651dc;2026-09-18T12:16:13;2026-09-18
itr/itr_cia_aberta_2024 (1).zip;32723961;5082a00a99a2779e2d61e5bfc6c70393d4c6b321468bd54843b71be90b627719;2026-09-18T12:16:10;2026-09-18
itr/itr_cia_aberta_2024.zip;32723942;6c3de85aab2d1ccb6611d37baf9937de70d80c7af1dcae5b6634404b36fea899;2026-09-04T11:25:58;2026-09-18
itr/itr_cia_aberta_2025.zip;31660221;1eecb6aeccf0333bd8cdf67ea98ee23a4f484dc772b4eed2ccbf12e517b36386;2026-09-18T12:16:08;2026-09-18
itr/itr_cia_aberta_2026.zip;19597776;58794253b8837e1b6a5bbd2025f983241bde19d15955a85e5937c2112757fef8;2026-09-18T12:16:04;2026-09-18
